type,choose,feature_nums,treenums,precision,recall,f1,MCC,TP,FP,TN,FN,AUC
test,maxrel,41,21,0.6206896551724138,0.47368421052631576,0.5373134328358208,0.37840411276351277,18.0,11.0,76.0,20.0,0.7483363581367211,"
"
test,maxrel,41,22,0.72,0.47368421052631576,0.5714285714285714,0.45219100943507723,18.0,7.0,80.0,20.0,0.7478826376285541,"
"
test,maxrel,41,23,0.7037037037037037,0.5,0.5846153846153846,0.4561058107256106,19.0,8.0,79.0,19.0,0.7625529340592861,"
"
test,maxrel,41,24,0.75,0.47368421052631576,0.5806451612903226,0.4726486056910934,18.0,6.0,81.0,20.0,0.7639140955837871,"
"
test,maxrel,41,25,0.72,0.47368421052631576,0.5714285714285714,0.45219100943507723,18.0,7.0,80.0,20.0,0.765124016938899,"
"
test,maxrel,41,26,0.7727272727272727,0.4473684210526316,0.5666666666666667,0.4709464634933908,17.0,5.0,82.0,21.0,0.7558983666061706,"
"
test,maxrel,41,27,0.6956521739130435,0.42105263157894735,0.5245901639344263,0.4043178935972214,16.0,7.0,80.0,22.0,0.7504537205081669,"
"
test,maxrel,41,28,0.7142857142857143,0.39473684210526316,0.5084745762711864,0.400809458488595,15.0,6.0,81.0,23.0,0.7554446460980037,"
"
test,maxrel,41,29,0.6666666666666666,0.42105263157894735,0.5161290322580646,0.3843360859431313,16.0,8.0,79.0,22.0,0.7566545674531155,"
"
test,maxrel,41,30,0.7619047619047619,0.42105263157894735,0.5423728813559322,0.4473286621200475,16.0,5.0,82.0,22.0,0.749697519661222,"
"
test,maxrel,41,31,0.7272727272727273,0.42105263157894735,0.5333333333333333,0.42527671334857015,16.0,6.0,81.0,22.0,0.765124016938899,"
"
test,maxrel,41,32,0.7619047619047619,0.42105263157894735,0.5423728813559322,0.4473286621200475,16.0,5.0,82.0,22.0,0.7655777374470659,"
"
test,maxrel,41,33,0.7619047619047619,0.42105263157894735,0.5423728813559322,0.4473286621200475,16.0,5.0,82.0,22.0,0.7655777374470659,"
"
test,maxrel,41,34,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7639140955837871,"
"
test,maxrel,41,35,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7613430127041743,"
"
test,maxrel,41,36,0.8823529411764706,0.39473684210526316,0.5454545454545454,0.49884327275776796,15.0,2.0,85.0,23.0,0.7605868118572293,"
"
test,maxrel,41,37,0.8823529411764706,0.39473684210526316,0.5454545454545454,0.49884327275776796,15.0,2.0,85.0,23.0,0.7620992135511192,"
"
test,maxrel,41,38,0.8823529411764706,0.39473684210526316,0.5454545454545454,0.49884327275776796,15.0,2.0,85.0,23.0,0.764216575922565,"
"
test,maxrel,41,39,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7666364186327889,"
"
test,maxrel,41,40,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7719298245614035,"
"
test,maxrel,41,41,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7705686630369026,"
"
test,maxrel,41,42,0.7777777777777778,0.3684210526315789,0.5,0.42245226084842386,14.0,4.0,83.0,24.0,0.7683000604960678,"
"
test,maxrel,41,43,0.75,0.39473684210526316,0.5172413793103448,0.4231689514992538,15.0,5.0,82.0,23.0,0.7663339382940109,"
"
test,maxrel,41,44,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7720810647307925,"
"
test,maxrel,41,45,0.75,0.39473684210526316,0.5172413793103448,0.4231689514992538,15.0,5.0,82.0,23.0,0.7702661826981246,"
"
test,maxrel,41,46,0.7368421052631579,0.3684210526315789,0.49122807017543857,0.3983932366027047,14.0,5.0,82.0,24.0,0.7725347852389595,"
"
test,maxrel,41,47,0.75,0.39473684210526316,0.5172413793103448,0.4231689514992538,15.0,5.0,82.0,23.0,0.7710223835450696,"
"
test,maxrel,41,48,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7673926194797338,"
"
test,maxrel,41,49,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7673926194797338,"
"
